label2,L,R
V1,Visual,Visual
MST,Visual2,Visual2
V6,Visual2,Visual2
V2,Visual2,Visual2
V3,Visual2,Visual2
V4,Visual2,Visual2
V8,Visual2,Visual2
4,Somatomotor,Somatomotor
3b,Somatomotor,Somatomotor
FEF,CinguloOpercular,CinguloOpercular
PEF,DorsalAttention,CinguloOpercular
55b,Language,Language
V3A,Visual2,Visual2
RSC,Frontoparietal,Frontoparietal
POS2,Frontoparietal,Frontoparietal
V7,Visual2,Visual2
IPS1,Visual2,Visual2
FFC,Visual2,Visual2
V3B,Visual2,Visual2
LO1,Visual2,Visual2
LO2,Visual2,Visual2
PIT,Visual2,Visual2
MT,Visual2,Visual2
A1,Auditory,Auditory
PSL,Language,CinguloOpercular
SFL,Language,Language
PCV,PosteriorMultimodal,PosteriorMultimodal
STV,Language,PosteriorMultimodal
7Pm,Frontoparietal,Frontoparietal
7m,Default,Default
POS1,Default,Default
23d,Default,Default
v23ab,Default,Default
d23ab,Default,Default
31pv,Default,Default
5m,Somatomotor,Somatomotor
5mv,CinguloOpercular,CinguloOpercular
23c,CinguloOpercular,CinguloOpercular
5L,Somatomotor,Somatomotor
24dd,Somatomotor,Somatomotor
24dv,Somatomotor,Somatomotor
7AL,Somatomotor,Somatomotor
SCEF,CinguloOpercular,CinguloOpercular
6ma,CinguloOpercular,CinguloOpercular
7Am,CinguloOpercular,CinguloOpercular
7PL,DorsalAttention,DorsalAttention
7PC,Somatomotor,Somatomotor
LIPv,Visual2,Visual2
VIP,Visual2,Visual2
MIP,DorsalAttention,DorsalAttention
1,Somatomotor,Somatomotor
2,Somatomotor,Somatomotor
3a,Somatomotor,Somatomotor
6d,Somatomotor,Somatomotor
6mp,Somatomotor,Somatomotor
6v,Somatomotor,Somatomotor
p24pr,CinguloOpercular,CinguloOpercular
33pr,CinguloOpercular,Frontoparietal
a24pr,CinguloOpercular,CinguloOpercular
p32pr,CinguloOpercular,CinguloOpercular
a24,Default,Default
d32,Default,Frontoparietal
8BM,Frontoparietal,Frontoparietal
p32,Default,Default
10r,Default,Default
47m,Default,Default
8Av,Default,Default
8Ad,Default,Default
9m,Default,Default
8BL,Default,Default
9p,Default,Default
10d,Default,Default
8C,Frontoparietal,Frontoparietal
44,Language,Frontoparietal
45,Language,Language
47l,Default,Default
a47r,Frontoparietal,Frontoparietal
6r,CinguloOpercular,CinguloOpercular
IFJa,Language,Language
IFJp,Frontoparietal,Frontoparietal
IFSp,Language,Frontoparietal
IFSa,Frontoparietal,CinguloOpercular
p9-46v,Frontoparietal,Frontoparietal
46,CinguloOpercular,CinguloOpercular
a9-46v,Frontoparietal,Frontoparietal
9-46d,CinguloOpercular,CinguloOpercular
9a,Default,Default
10v,Default,Default
a10p,Frontoparietal,Frontoparietal
10pp,Default,Default
11l,Frontoparietal,Frontoparietal
13l,Frontoparietal,Frontoparietal
